Statistic,P-value,Expression/Ramp Bin
0.9878132939338684,0.91223294,Not detected ramp
0.9547997713088989,0.07732154,Low ramp
0.9870526194572449,0.88995975,Medium ramp
0.8571200370788574,0.00005612,High ramp
0.979563295841217,0.60216516,Not detected no ramp
0.9654560685157776,0.19669427,Low no ramp
0.9717435836791992,0.33443993,Medium no ramp
0.7294434309005737,0.00000009,High no ramp
