Statistic,P-value,Expression/Ramp Bin
0.7954917550086975,0.00000288,Not detected ramp
0.9780967235565186,0.57396579,Low ramp
0.9697324633598328,0.30954486,Medium ramp
0.9537226557731628,0.08157898,High ramp
0.8527434468269348,0.00006125,Not detected no ramp
0.9742914438247681,0.43955690,Low no ramp
0.9197772741317749,0.00527384,Medium no ramp
0.9353365898132324,0.01779330,High no ramp
