Statistic,P-value,Expression/Ramp Bin
0.9720959663391113,0.52160800,Not detected ramp
0.7774162888526917,0.00000965,Low ramp
0.9708868265151978,0.48635650,Medium ramp
0.97774738073349,0.70047230,High ramp
0.9467440247535706,0.09807230,Not detected no ramp
0.9172513484954834,0.01352093,Low no ramp
0.9260173439979553,0.02398794,Medium no ramp
0.9614266753196716,0.26746202,High no ramp
