Statistic,P-value,Expression/Ramp Bin
0.8146811723709106,0.00000023,Not detected ramp
0.9502236247062683,0.01368016,Low ramp
0.9759359955787659,0.26215163,Medium ramp
0.979856550693512,0.40025848,High ramp
0.8375124335289001,0.00000096,Not detected no ramp
0.9795718193054199,0.38859227,Low no ramp
0.9147367477416992,0.00037773,Medium no ramp
0.9572409987449646,0.03017889,High no ramp
